Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,860","(+/-14,345)","760,504","(+/-17,446)","779,901","(+/-15,178)","805,468","(+/-9,201)","778,270","(+/-7,756)","809,758","(+/-14,668)","828,279","(+/-10,041)","789,608","(+/-10,475)","779,898","(+/-4,033)","790,505","(+/-20,297)","791,802","(+/-8,349)"
People,"Sex and Age",Male,"393,902","(+/-4,193)","366,094","(+/-4,429)","387,540","(+/-5,568)","371,934","(+/-7,943)","368,858","(+/-11,536)","371,551","(+/-10,293)","399,416","(+/-6,033)","382,024","(+/-4,977)","400,254","(+/-8,345)","406,698","(+/-6,747)","388,055","(+/-6,314)","382,483","(+/-3,604)","368,884","(+/-12,277)","390,811","(+/-5,596)"
People,"Sex and Age",Female,"405,647","(+/-3,775)","391,125","(+/-6,067)","406,066","(+/-6,039)","392,926","(+/-9,214)","391,646","(+/-10,259)","408,350","(+/-8,993)","406,052","(+/-5,466)","396,246","(+/-5,341)","409,504","(+/-8,490)","421,581","(+/-6,275)","401,553","(+/-6,591)","397,415","(+/-2,950)","421,621","(+/-10,979)","400,991","(+/-5,371)"
People,"Sex and Age","Under 5 years","47,210","(+/-2,227)","43,008","(+/-2,456)","43,376","(+/-2,355)","47,939","(+/-3,272)","37,180","(+/-3,750)","48,432","(+/-4,132)","42,626","(+/-2,590)","44,535","(+/-2,952)","43,229","(+/-3,414)","44,959","(+/-3,149)","41,589","(+/-2,607)","44,130","(+/-1,804)","49,235","(+/-4,390)","44,302","(+/-2,127)"
People,"Sex and Age","5 to 9 years","48,909","(+/-3,491)","51,604","(+/-3,547)","51,694","(+/-3,914)","47,919","(+/-4,401)","39,705","(+/-5,051)","46,771","(+/-4,313)","48,541","(+/-3,324)","51,009","(+/-3,934)","51,530","(+/-4,470)","54,454","(+/-4,377)","45,597","(+/-2,959)","49,522","(+/-3,413)","51,210","(+/-5,124)","50,370","(+/-3,380)"
People,"Sex and Age","10 to 14 years","56,237","(+/-3,700)","51,882","(+/-3,652)","51,722","(+/-3,744)","49,654","(+/-4,114)","46,455","(+/-5,278)","49,291","(+/-5,655)","57,322","(+/-3,080)","54,464","(+/-4,758)","55,203","(+/-3,868)","54,493","(+/-4,713)","53,408","(+/-3,889)","50,764","(+/-3,149)","60,319","(+/-5,222)","55,106","(+/-3,228)"
People,"Sex and Age","15 to 19 years","49,251","(+/-2,462)","52,754","(+/-2,860)","51,357","(+/-3,579)","49,667","(+/-2,921)","55,829","(+/-4,897)","44,625","(+/-3,686)","55,891","(+/-3,221)","55,839","(+/-3,925)","60,854","(+/-3,421)","65,212","(+/-3,637)","59,268","(+/-2,766)","59,514","(+/-3,550)","61,153","(+/-4,287)","58,635","(+/-3,052)"
People,"Sex and Age","20 to 24 years","58,073","(+/-2,606)","51,226","(+/-3,375)","48,584","(+/-3,700)","47,988","(+/-3,512)","60,399","(+/-4,263)","55,677","(+/-4,482)","44,706","(+/-3,317)","53,161","(+/-3,138)","50,976","(+/-3,447)","65,548","(+/-3,314)","49,587","(+/-3,087)","59,826","(+/-3,199)","52,090","(+/-4,813)","46,513","(+/-2,835)"
People,"Sex and Age","25 to 34 years","118,933","(+/-5,039)","104,663","(+/-4,614)","96,868","(+/-4,511)","121,824","(+/-4,875)","147,707","(+/-6,561)","130,493","(+/-6,600)","90,461","(+/-4,882)","96,931","(+/-4,093)","91,214","(+/-4,937)","109,806","(+/-4,244)","101,026","(+/-4,038)","103,552","(+/-3,686)","104,687","(+/-6,344)","98,452","(+/-3,672)"
People,"Sex and Age","35 to 44 years","106,579","(+/-3,350)","94,599","(+/-4,590)","102,361","(+/-5,387)","113,905","(+/-4,443)","115,226","(+/-5,861)","114,218","(+/-6,211)","113,471","(+/-4,283)","105,808","(+/-4,552)","108,475","(+/-4,982)","105,048","(+/-4,236)","106,616","(+/-4,062)","101,378","(+/-3,757)","95,942","(+/-4,769)","103,290","(+/-3,230)"
