Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Sex and Age","Total population","785,088","(+/-10,040)","773,417","(+/-11,592)","754,728","(+/-18,478)","767,277","(+/-6,128)","737,913","(+/-18,724)","694,433","(+/-22,648)","719,150","(+/-23,262)","740,586","(+/-23,116)","725,955","(+/-22,470)","718,911","(+/-23,578)","753,280","(+/-13,354)","734,996","(+/-16,880)","726,044","(+/-19,973)","741,997","(+/-25,851)","715,444","(+/-20,526)","774,594","(+/-9,957)","773,479","(+/-5,792)","779,218","(+/-5,729)","776,512","(+/-6,329)","778,522","(+/-5,879)","771,032","(+/-7,131)","759,800","(+/-3,847)","762,500","(+/-6,149)","764,963","(+/-5,833)","766,786","(+/-2,514)","774,591","(+/-5,971)"
People,"Sex and Age",Male,"389,283","(+/-6,974)","381,549","(+/-7,670)","373,017","(+/-10,201)","378,374","(+/-4,648)","349,608","(+/-10,182)","336,173","(+/-13,174)","349,707","(+/-12,244)","339,999","(+/-12,194)","341,487","(+/-11,643)","354,578","(+/-13,776)","371,219","(+/-7,494)","352,069","(+/-11,357)","340,188","(+/-11,867)","368,639","(+/-15,161)","338,141","(+/-13,027)","371,770","(+/-7,434)","387,529","(+/-5,095)","384,859","(+/-3,649)","389,388","(+/-3,880)","380,538","(+/-3,492)","394,816","(+/-4,708)","369,657","(+/-2,674)","378,115","(+/-4,386)","384,294","(+/-4,181)","371,968","(+/-1,431)","374,939","(+/-4,192)"
People,"Sex and Age",Female,"395,805","(+/-6,024)","391,868","(+/-6,895)","381,711","(+/-10,169)","388,903","(+/-5,548)","388,305","(+/-10,802)","358,260","(+/-11,729)","369,443","(+/-13,888)","400,587","(+/-13,562)","384,468","(+/-14,110)","364,333","(+/-13,428)","382,061","(+/-7,476)","382,927","(+/-9,561)","385,856","(+/-12,144)","373,358","(+/-13,840)","377,303","(+/-11,144)","402,824","(+/-5,585)","385,950","(+/-4,530)","394,359","(+/-3,741)","387,124","(+/-4,611)","397,984","(+/-4,279)","376,216","(+/-4,153)","390,143","(+/-2,784)","384,385","(+/-3,921)","380,669","(+/-3,266)","394,818","(+/-1,268)","399,652","(+/-4,132)"
People,"Sex and Age","Under 5 years","38,561","(+/-3,345)","46,385","(+/-3,527)","32,684","(+/-3,532)","41,830","(+/-2,502)","42,131","(+/-3,922)","32,713","(+/-3,489)","43,876","(+/-6,090)","39,442","(+/-4,722)","50,936","(+/-5,261)","32,738","(+/-3,766)","39,194","(+/-2,859)","30,931","(+/-3,093)","35,432","(+/-4,258)","41,786","(+/-4,657)","47,382","(+/-4,368)","38,276","(+/-2,434)","51,757","(+/-2,364)","43,855","(+/-1,245)","35,694","(+/-1,675)","36,579","(+/-1,640)","37,871","(+/-1,792)","39,416","(+/-1,578)","36,946","(+/-1,919)","38,144","(+/-1,670)","39,194",(+/-344),"41,955","(+/-1,960)"
People,"Sex and Age","5 to 9 years","38,718","(+/-3,648)","46,222","(+/-3,947)","37,463","(+/-3,503)","44,722","(+/-3,765)","40,837","(+/-3,714)","34,730","(+/-3,804)","32,294","(+/-4,092)","44,779","(+/-6,269)","41,800","(+/-5,024)","37,391","(+/-4,533)","45,381","(+/-3,779)","24,009","(+/-4,199)","31,229","(+/-4,352)","43,603","(+/-4,807)","51,077","(+/-4,927)","40,045","(+/-3,404)","51,512","(+/-4,014)","45,765","(+/-3,006)","37,578","(+/-2,866)","39,442","(+/-3,196)","40,422","(+/-2,543)","42,363","(+/-2,146)","44,992","(+/-3,317)","40,793","(+/-2,537)","41,751","(+/-2,418)","41,936","(+/-2,776)"
People,"Sex and Age","10 to 14 years","45,602","(+/-3,780)","49,114","(+/-4,078)","44,368","(+/-3,892)","53,197","(+/-4,189)","45,816","(+/-3,461)","36,839","(+/-4,327)","35,835","(+/-4,931)","48,022","(+/-5,713)","47,421","(+/-4,484)","40,123","(+/-5,140)","48,399","(+/-3,947)","23,452","(+/-3,936)","36,833","(+/-5,991)","51,439","(+/-5,845)","48,707","(+/-5,072)","49,907","(+/-3,842)","53,662","(+/-4,015)","47,484","(+/-2,907)","36,225","(+/-2,499)","43,628","(+/-2,919)","42,907","(+/-2,606)","45,441","(+/-2,438)","45,569","(+/-2,887)","43,351","(+/-2,602)","45,912","(+/-2,614)","44,044","(+/-3,029)"
People,"Sex and Age","15 to 19 years","49,853","(+/-3,429)","47,531","(+/-3,365)","45,443","(+/-3,265)","48,950","(+/-3,062)","45,000","(+/-3,550)","33,357","(+/-3,681)","36,848","(+/-3,978)","44,970","(+/-4,008)","35,206","(+/-3,363)","40,028","(+/-4,136)","43,628","(+/-1,955)","25,877","(+/-2,489)","40,515","(+/-3,688)","40,051","(+/-3,859)","52,834","(+/-4,153)","52,518","(+/-3,062)","49,938","(+/-3,048)","56,733","(+/-2,014)","59,547","(+/-3,584)","55,284","(+/-3,163)","47,110","(+/-2,318)","57,347","(+/-1,949)","47,426","(+/-2,296)","47,919","(+/-1,936)","52,874",(+/-786),"47,105","(+/-2,584)"
People,"Sex and Age","20 to 24 years","50,100","(+/-3,130)","50,664","(+/-3,540)","40,796","(+/-3,395)","46,614","(+/-3,294)","44,561","(+/-2,498)","32,720","(+/-3,378)","48,149","(+/-5,162)","36,467","(+/-3,899)","42,728","(+/-4,105)","43,984","(+/-4,935)","40,829","(+/-2,057)","42,713","(+/-4,287)","52,219","(+/-3,982)","44,357","(+/-4,868)","46,707","(+/-4,249)","47,666","(+/-3,194)","47,843","(+/-2,673)","55,202","(+/-2,281)","64,814","(+/-2,893)","61,243","(+/-2,407)","51,408","(+/-2,287)","50,597","(+/-2,300)","39,176","(+/-2,085)","46,221","(+/-1,976)","48,695",(+/-516),"55,837","(+/-2,143)"
People,"Sex and Age","25 to 34 years","86,388","(+/-3,765)","103,922","(+/-4,463)","82,257","(+/-6,059)","93,192","(+/-4,716)","96,619","(+/-5,444)","85,259","(+/-5,982)","172,644","(+/-7,790)","116,925","(+/-7,133)","115,822","(+/-6,722)","143,874","(+/-8,284)","94,726","(+/-3,835)","160,407","(+/-6,906)","125,223","(+/-6,804)","122,887","(+/-7,849)","101,344","(+/-5,939)","91,576","(+/-4,088)","83,393","(+/-4,139)","94,134","(+/-2,699)","86,905","(+/-3,371)","98,914","(+/-3,286)","94,289","(+/-3,423)","91,536","(+/-2,249)","80,697","(+/-3,019)","93,451","(+/-2,681)","102,405",(+/-578),"115,499","(+/-2,802)"
People,"Sex and Age","35 to 44 years","88,234","(+/-4,215)","98,989","(+/-4,251)","86,711","(+/-4,970)","98,607","(+/-3,988)","89,830","(+/-4,577)","97,858","(+/-6,007)","110,586","(+/-7,041)","98,064","(+/-5,713)","98,440","(+/-5,634)","113,221","(+/-6,959)","101,238","(+/-3,597)","104,072","(+/-7,022)","108,843","(+/-7,559)","112,461","(+/-6,473)","86,700","(+/-5,434)","102,521","(+/-3,955)","92,119","(+/-3,662)","99,944","(+/-3,376)","92,517","(+/-2,700)","104,126","(+/-2,667)","93,432","(+/-2,458)","93,981","(+/-2,000)","94,680","(+/-2,872)","89,325","(+/-2,173)","98,450",(+/-662),"97,578","(+/-3,359)"
