Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","746,458","(+/-3,987)","775,561","(+/-10,591)","771,798","(+/-3,448)","783,628","(+/-10,222)","746,549","(+/-8,902)","779,442","(+/-12,436)","791,823","(+/-5,932)","773,839","(+/-10,833)","765,429","(+/-9,159)","778,760","(+/-7,776)","765,771","(+/-2,289)","762,879","(+/-12,882)","808,879","(+/-9,830)","784,675","(+/-12,643)"
People,"Sex and Age",Male,"360,051","(+/-3,700)","372,179","(+/-6,588)","392,010","(+/-3,695)","380,948","(+/-6,467)","366,439","(+/-6,381)","386,989","(+/-7,814)","383,283","(+/-4,359)","380,146","(+/-6,758)","379,977","(+/-5,865)","378,149","(+/-5,401)","373,873","(+/-2,788)","367,785","(+/-7,308)","408,442","(+/-6,832)","381,783","(+/-7,378)"
People,"Sex and Age",Female,"386,407","(+/-4,190)","403,382","(+/-6,291)","379,788","(+/-3,485)","402,680","(+/-5,977)","380,110","(+/-5,909)","392,453","(+/-7,997)","408,540","(+/-4,490)","393,693","(+/-6,397)","385,452","(+/-5,797)","400,611","(+/-4,868)","391,898","(+/-2,780)","395,094","(+/-7,630)","400,437","(+/-5,386)","402,892","(+/-7,472)"
People,"Sex and Age","Under 5 years","40,746","(+/-2,047)","45,186","(+/-2,998)","44,743","(+/-1,785)","41,654","(+/-2,648)","35,847","(+/-2,289)","41,751","(+/-2,987)","40,864","(+/-2,242)","41,456","(+/-2,955)","46,260","(+/-2,139)","43,159","(+/-2,163)","34,286","(+/-2,148)","45,892","(+/-3,604)","45,495","(+/-2,198)","47,400","(+/-3,421)"
People,"Sex and Age","5 to 9 years","48,965","(+/-3,245)","43,577","(+/-3,643)","44,625","(+/-3,223)","46,333","(+/-4,117)","41,408","(+/-3,330)","43,865","(+/-4,522)","40,483","(+/-3,125)","54,204","(+/-3,693)","49,181","(+/-3,902)","47,878","(+/-3,028)","37,094","(+/-2,483)","42,092","(+/-4,355)","51,578","(+/-3,681)","49,953","(+/-3,856)"
People,"Sex and Age","10 to 14 years","44,260","(+/-3,175)","47,399","(+/-3,837)","47,863","(+/-2,932)","49,185","(+/-3,680)","41,093","(+/-3,507)","50,237","(+/-3,846)","47,182","(+/-3,164)","54,181","(+/-3,352)","45,659","(+/-3,356)","47,288","(+/-3,565)","34,798","(+/-2,486)","43,002","(+/-3,964)","54,636","(+/-4,188)","51,814","(+/-3,615)"
People,"Sex and Age","15 to 19 years","48,032","(+/-3,343)","48,076","(+/-3,079)","54,973","(+/-2,953)","59,040","(+/-3,496)","56,676","(+/-4,211)","58,822","(+/-4,710)","50,241","(+/-2,674)","54,514","(+/-3,303)","48,606","(+/-2,435)","53,561","(+/-2,999)","43,755","(+/-2,714)","49,441","(+/-2,809)","55,766","(+/-3,351)","47,948","(+/-3,771)"
People,"Sex and Age","20 to 24 years","39,319","(+/-3,248)","55,285","(+/-2,611)","74,684","(+/-2,433)","56,449","(+/-3,450)","53,547","(+/-3,239)","51,568","(+/-4,503)","52,661","(+/-2,487)","44,981","(+/-2,681)","55,117","(+/-2,956)","49,104","(+/-2,907)","44,055","(+/-2,848)","60,502","(+/-2,529)","45,102","(+/-3,342)","41,542","(+/-2,933)"
People,"Sex and Age","25 to 34 years","90,177","(+/-4,684)","130,531","(+/-5,313)","102,465","(+/-2,679)","109,000","(+/-4,759)","88,087","(+/-3,704)","104,905","(+/-5,493)","96,230","(+/-3,002)","87,153","(+/-4,674)","100,265","(+/-4,025)","96,073","(+/-3,475)","89,821","(+/-3,255)","153,261","(+/-4,976)","96,987","(+/-4,550)","98,816","(+/-4,032)"
People,"Sex and Age","35 to 44 years","88,467","(+/-3,504)","109,406","(+/-4,258)","93,302","(+/-2,978)","117,690","(+/-4,012)","87,811","(+/-4,265)","96,847","(+/-4,950)","93,493","(+/-2,918)","102,849","(+/-4,066)","98,663","(+/-4,384)","94,695","(+/-3,631)","94,948","(+/-2,218)","108,920","(+/-4,551)","111,797","(+/-4,127)","106,018","(+/-4,926)"
People,"Sex and Age","45 to 54 years","85,891","(+/-3,451)","103,917","(+/-3,855)","80,663","(+/-2,488)","101,783","(+/-3,498)","92,473","(+/-3,898)","95,367","(+/-4,237)","92,725","(+/-2,544)","103,045","(+/-3,861)","93,501","(+/-3,630)","101,381","(+/-3,312)","90,956","(+/-3,160)","97,269","(+/-3,527)","110,095","(+/-3,901)","104,153","(+/-3,699)"
People,"Sex and Age","55 to 59 years","54,138","(+/-3,023)","44,201","(+/-3,347)","39,205","(+/-2,860)","46,997","(+/-3,810)","47,775","(+/-3,171)","47,514","(+/-3,627)","49,554","(+/-2,737)","53,541","(+/-2,981)","46,161","(+/-3,633)","49,717","(+/-3,127)","50,335","(+/-3,110)","40,524","(+/-3,720)","55,353","(+/-3,359)","50,219","(+/-3,157)"
People,"Sex and Age","60 to 64 years","48,070","(+/-2,627)","42,664","(+/-3,367)","49,712","(+/-2,799)","42,100","(+/-3,788)","53,128","(+/-2,824)","50,863","(+/-3,586)","59,002","(+/-3,082)","49,165","(+/-3,066)","48,380","(+/-3,083)","55,010","(+/-3,052)","54,255","(+/-3,176)","38,206","(+/-3,010)","52,087","(+/-3,300)","52,424","(+/-3,139)"
People,"Sex and Age","65 to 74 years","94,315","(+/-2,132)","61,468","(+/-3,021)","83,933","(+/-1,688)","67,126","(+/-2,960)","85,035","(+/-2,744)","84,496","(+/-3,246)","104,038","(+/-1,610)","75,450","(+/-2,428)","76,088","(+/-2,483)","82,635","(+/-1,869)","110,421","(+/-1,992)","53,517","(+/-2,585)","83,216","(+/-3,587)","79,982","(+/-2,632)"
People,"Sex and Age","75 to 84 years","49,074","(+/-2,218)","32,700","(+/-2,909)","43,418","(+/-2,014)","35,613","(+/-2,491)","48,443","(+/-2,529)","40,728","(+/-2,429)","50,536","(+/-2,167)","41,972","(+/-2,389)","44,441","(+/-2,088)","42,959","(+/-2,365)","63,649","(+/-2,022)","21,276","(+/-1,977)","37,649","(+/-2,462)","43,202","(+/-2,212)"
People,"Sex and Age","85 years and over","15,004","(+/-1,649)","11,151","(+/-1,646)","12,212","(+/-1,609)","10,658","(+/-1,402)","15,226","(+/-1,828)","12,479","(+/-1,814)","14,814","(+/-2,036)","11,328","(+/-1,570)","13,107","(+/-1,703)","15,300","(+/-2,206)","17,398","(+/-1,867)","8,977","(+/-1,573)","9,118","(+/-1,789)","11,204","(+/-1,606)"
People,"Sex and Age","Median age (years)",41.9,(+/-0.6),36.4,(+/-0.6),36.6,(+/-0.4),37.4,(+/-0.6),41.4,(+/-0.6),39.4,(+/-0.8),42.2,(+/-0.4),40.4,(+/-0.5),38.8,(+/-0.5),40.4,(+/-0.7),45.4,(+/-0.4),34.1,(+/-0.4),40.1,(+/-0.4),40.1,(+/-0.7)
