Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","812,132","(+/-3,304)","811,280","(+/-3,462)","803,437","(+/-9,999)","808,026","(+/-5,020)","818,949","(+/-10,967)"
People,"Sex and Age",Male,"399,046","(+/-2,042)","404,776","(+/-2,644)","407,034","(+/-6,212)","402,159","(+/-3,356)","401,673","(+/-6,871)"
People,"Sex and Age",Female,"413,086","(+/-1,958)","406,504","(+/-2,755)","396,403","(+/-6,352)","405,867","(+/-3,735)","417,276","(+/-6,542)"
People,"Sex and Age","Under 5 years","50,792",(+/-846),"46,969","(+/-1,131)","49,854","(+/-2,916)","43,351","(+/-1,886)","48,645","(+/-2,542)"
People,"Sex and Age","5 to 9 years","53,740","(+/-2,408)","50,653","(+/-1,878)","62,131","(+/-4,164)","50,522","(+/-3,013)","57,035","(+/-3,774)"
People,"Sex and Age","10 to 14 years","58,948","(+/-2,572)","57,364","(+/-1,912)","55,254","(+/-3,690)","54,167","(+/-3,100)","52,939","(+/-3,331)"
People,"Sex and Age","15 to 19 years","57,007","(+/-1,090)","56,251","(+/-1,870)","66,108","(+/-3,288)","59,802","(+/-2,320)","54,135","(+/-2,747)"
People,"Sex and Age","20 to 24 years","52,485","(+/-1,127)","48,707","(+/-1,935)","63,588","(+/-3,311)","67,661","(+/-2,144)","51,295","(+/-3,058)"
People,"Sex and Age","25 to 34 years","112,363","(+/-1,315)","97,069","(+/-1,673)","109,195","(+/-5,057)","107,921","(+/-2,656)","113,579","(+/-3,954)"
People,"Sex and Age","35 to 44 years","111,560","(+/-1,097)","100,165","(+/-1,634)","100,128","(+/-3,487)","108,681","(+/-2,775)","118,734","(+/-3,777)"
People,"Sex and Age","45 to 54 years","94,982","(+/-1,111)","95,300","(+/-1,447)","85,152","(+/-2,814)","89,666","(+/-2,304)","95,743","(+/-3,017)"
People,"Sex and Age","55 to 59 years","44,659","(+/-1,898)","46,231","(+/-2,101)","38,141","(+/-2,618)","44,447","(+/-2,492)","45,029","(+/-3,315)"
People,"Sex and Age","60 to 64 years","46,911","(+/-1,800)","55,987","(+/-2,266)","48,626","(+/-2,795)","48,723","(+/-2,419)","48,444","(+/-2,991)"
People,"Sex and Age","65 to 74 years","76,795",(+/-890),"91,445","(+/-1,205)","74,598","(+/-2,229)","79,235","(+/-1,873)","78,940","(+/-2,298)"
People,"Sex and Age","75 to 84 years","39,684","(+/-1,494)","50,556","(+/-1,512)","37,601","(+/-1,774)","41,675","(+/-1,507)","41,467","(+/-2,020)"
People,"Sex and Age","85 years and over","12,206","(+/-1,294)","14,583","(+/-1,149)","13,061","(+/-1,518)","12,175","(+/-1,192)","12,964","(+/-1,512)"
People,"Sex and Age","Median age (years)",36.8,(+/-0.3),39.7,(+/-0.3),34.6,(+/-0.5),37.0,(+/-0.3),37.3,(+/-0.5)
People,"Sex and Age","18 years and over","612,605","(+/-2,318)","622,032","(+/-2,149)","599,520","(+/-6,573)","626,850","(+/-3,554)","627,073","(+/-7,671)"
People,"Sex and Age","65 years and over","128,685","(+/-1,245)","156,584","(+/-1,378)","125,260","(+/-2,473)","133,085","(+/-2,007)","133,371","(+/-3,064)"
People,Race,"Total population","812,132","(+/-3,304)","811,280","(+/-3,462)","803,437","(+/-9,999)","808,026","(+/-5,020)","818,949","(+/-10,967)"
People,Race,"One race","680,600","(+/-6,235)","698,162","(+/-5,348)","678,491","(+/-12,769)","689,486","(+/-7,339)","698,985","(+/-11,545)"
People,Race,White,"500,070","(+/-4,057)","516,400","(+/-3,929)","526,557","(+/-10,010)","547,896","(+/-5,847)","529,667","(+/-8,956)"
People,Race,"Black or African American","67,158","(+/-2,677)","25,688","(+/-1,678)","40,188","(+/-5,995)","55,734","(+/-3,819)","85,263","(+/-6,150)"
People,Race,"American Indian and Alaska Native","47,628","(+/-3,065)","133,402","(+/-3,454)","41,639","(+/-3,528)","41,737","(+/-2,799)","27,689","(+/-2,635)"
People,Race,Asian,"29,146","(+/-1,197)","6,853",(+/-906),"8,755","(+/-1,625)","20,551","(+/-1,764)","29,497","(+/-2,279)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,582",(+/-248),739,(+/-420),"5,194","(+/-3,185)",927,(+/-203),653,(+/-449)
People,Race,"Some other race","35,016","(+/-3,892)","15,080","(+/-2,039)","56,158","(+/-5,904)","22,641","(+/-2,805)","26,216","(+/-5,494)"
People,Race,"Two or more races","131,532","(+/-5,663)","113,118","(+/-4,348)","124,946","(+/-7,730)","118,540","(+/-6,755)","119,964","(+/-8,830)"
People,"Hispanic or Latino and Race","Total population","812,132","(+/-3,304)","811,280","(+/-3,462)","803,437","(+/-9,999)","808,026","(+/-5,020)","818,949","(+/-10,967)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","120,307","(+/-1,155)","51,366","(+/-1,110)","173,490","(+/-6,722)","88,285","(+/-2,376)","89,843","(+/-6,668)"
People,"Hispanic or Latino and Race",Mexican,"84,605","(+/-3,838)","39,457","(+/-2,026)","146,691","(+/-8,471)","63,534","(+/-3,767)","57,627","(+/-6,809)"
People,"Hispanic or Latino and Race","Puerto Rican","5,818","(+/-1,711)","1,518",(+/-542),"3,082","(+/-1,343)","7,836","(+/-1,460)","3,397","(+/-1,317)"
People,"Hispanic or Latino and Race",Cuban,"1,836","(+/-1,082)","1,403",(+/-969),618,(+/-472),"1,174",(+/-576),"1,963","(+/-1,110)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","28,048","(+/-3,425)","8,988","(+/-1,353)","23,099","(+/-5,045)","15,741","(+/-3,023)","26,856","(+/-5,336)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","691,825","(+/-3,211)","759,914","(+/-3,370)","629,947","(+/-9,563)","719,741","(+/-4,686)","729,106","(+/-9,399)"
People,"Place of Birth","Total population","812,132","(+/-3,304)","811,280","(+/-3,462)","803,437","(+/-9,999)","808,026","(+/-5,020)","818,949","(+/-10,967)"
